ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
436,Ontario,Canada,43.6532,-79.3832,2020-01-27,1.0
438,New South Wales,Australia,-33.8688,151.2093,2020-01-27,3.0
439,Victoria,Australia,-37.8136,144.9631,2020-01-27,1.0
440,Queensland,Australia,-27.4698,153.0251,2020-01-27,1.0
441,,Cambodia,12.5657,104.991,2020-01-27,1.0
442,,Sri Lanka,7.8731,80.7718,2020-01-27,1.0
443,Bavaria,Germany,51.1657,10.4515,2020-01-27,1.0
455,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-28,152.0
456,Beijing,Mainland China,40.18238,116.4142,2020-01-28,91.0
457,Chongqing,Mainland China,30.05718,107.874,2020-01-28,147.0
458,Fujian,Mainland China,26.07783,117.9895,2020-01-28,82.0
459,Gansu,Mainland China,36.0611,103.8343,2020-01-28,24.0
460,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-28,241.0
461,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-28,58.0
462,Guizhou,Mainland China,26.81536,106.8748,2020-01-28,9.0
463,Hainan,Mainland China,19.19673,109.7455,2020-01-28,43.0
464,Hebei,Mainland China,38.0428,114.5149,2020-01-28,48.0
465,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-28,37.0
466,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-28,206.0
467,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-28,3554.0
468,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-28,221.0
469,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-28,16.0
470,Jiangsu,Mainland China,32.97027,119.464,2020-01-28,99.0
471,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-28,109.0
472,Jilin,Mainland China,43.66657,126.1917,2020-01-28,9.0
473,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-28,36.0
474,Ningxia,Mainland China,37.26923,106.1655,2020-01-28,12.0
475,Qinghai,Mainland China,35.65945,96.02564,2020-01-28,6.0
476,Shaanxi,Mainland China,35.19165,108.8701,2020-01-28,56.0
477,Shandong,Mainland China,36.34377,118.1529,2020-01-28,121.0
478,Shanghai,Mainland China,31.20327,121.4554,2020-01-28,80.0
479,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-28,27.0
480,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-28,108.0
481,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-28,25.0
483,Xinjiang,Mainland China,41.11981,85.17822,2020-01-28,13.0
484,Yunnan,Mainland China,24.97411,101.4868,2020-01-28,44.0
485,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-28,296.0
486,,Thailand,13.7563,100.5018,2020-01-28,14.0
487,,Japan,35.6762,139.6503,2020-01-28,7.0
488,,South Korea,37.5665,126.978,2020-01-28,4.0
489,Taiwan,Taiwan,23.6978,120.9605,2020-01-28,8.0
